,sweep_key,sweep_value,model_name,pr_auc_mean,pr_auc_std,recall_mean,recall_std,f1_mean,f1_std
0,anomaly_ratio,0.01,random_forest,0.2133213020968355,0.0521896022317424,0.1137254901960784,0.05732477009567001,0.18878210017798117,0.08812393619040165
1,anomaly_ratio,0.01,svm,0.24280953638392969,0.09302424499684082,0.03398692810457514,0.03105435037439109,0.06327485380116958,0.05789532754143689
2,anomaly_ratio,0.01,vqc_1,0.06808739680126843,0.029781506326703105,0.22875816993464052,0.10858331846951731,0.0755275162329658,0.036337692897735356
3,anomaly_ratio,0.01,vqc_2,0.06144850835694454,0.011145518386947833,0.0,0.0,0.0,0.0
4,anomaly_ratio,0.01,vqc_3,0.07631710771616926,0.018456790587872137,0.0111111111111111,0.024845199749997635,0.01428571428571428,0.03194382824999698
5,anomaly_ratio,0.01,vqc_4,0.05721128621222192,0.014111701524815121,0.11307189542483657,0.08737171197621445,0.05704318957609188,0.043559027223166756
6,anomaly_ratio,0.02,random_forest,0.32795837884547085,0.10021191960043105,0.25,0.13693063937629152,0.3729827005689075,0.1749661165467331
7,anomaly_ratio,0.02,svm,0.3406081122223238,0.11315886882261064,0.18,0.11510864433221336,0.28878174965131487,0.16105526776498807
8,anomaly_ratio,0.02,vqc_1,0.06880962092073478,0.01163311885960865,0.27,0.08366600265340755,0.09381701800565893,0.020035522126579906
9,anomaly_ratio,0.02,vqc_2,0.07198805807379252,0.01756878006319818,0.0,0.0,0.0,0.0
10,anomaly_ratio,0.02,vqc_3,0.13309444881971536,0.03259381004390782,0.06000000000000001,0.0223606797749979,0.09298241290651156,0.02490033176744232
11,anomaly_ratio,0.02,vqc_4,0.07935061077251392,0.028747253682552328,0.16,0.054772255750516606,0.08705086006252491,0.0325952114934911
12,anomaly_ratio,0.05,random_forest,0.5970022505594869,0.06980180461437917,0.48694581280788174,0.10631010960399623,0.6344025263866927,0.0929278953802219
13,anomaly_ratio,0.05,svm,0.5941484521394017,0.06523244275967166,0.4652709359605911,0.0863492842390271,0.6194685531270897,0.08324923590429187
14,anomaly_ratio,0.05,vqc_1,0.09551644016619736,0.013506548691313175,0.21847290640394085,0.09918037521177975,0.11272583219705719,0.04625020303152042
15,anomaly_ratio,0.05,vqc_2,0.14118204607318605,0.0387267574723334,0.0,0.0,0.0,0.0
16,anomaly_ratio,0.05,vqc_3,0.34831002644679576,0.13228672313986464,0.21059113300492607,0.11802116798729992,0.3182945620576699,0.1710386167407298
17,anomaly_ratio,0.05,vqc_4,0.14114608209489493,0.039445273704767456,0.18916256157635464,0.08527202447845757,0.15822776148582599,0.06569005102980803
18,anomaly_ratio,0.1,random_forest,0.7207249328286787,0.06537986988424471,0.6458916201967819,0.08842227667563603,0.7646045214754029,0.06445947911951755
19,anomaly_ratio,0.1,svm,0.7219453697897734,0.07801964961979843,0.6268331970544109,0.07754971361151719,0.7510925616956284,0.05835415570947468
20,anomaly_ratio,0.1,vqc_1,0.15711575025002583,0.0173204801540427,0.31246080446307334,0.10570088618539551,0.20219696256321598,0.044543509514914655
21,anomaly_ratio,0.1,vqc_2,0.23468071789814665,0.05966206288409283,0.0,0.0,0.0,0.0
22,anomaly_ratio,0.1,vqc_3,0.43462990559228054,0.20211239480751989,0.18812372161776586,0.1419694763378394,0.2920366909522856,0.2001361278280045
23,anomaly_ratio,0.1,vqc_4,0.1553436282628073,0.005958807945934053,0.13638561287455214,0.028089631535755378,0.13430763112190733,0.02874538078404908
24,label_noise,0.0,random_forest,0.9991666666666668,0.0018633899812498772,0.9733333333333334,0.05962847939999437,0.9857142857142858,0.031943828249997
25,label_noise,0.0,svm,0.9984313725490196,0.0035075576117643806,0.96,0.059628479399994425,0.9788177339901477,0.03181060944032106
26,label_noise,0.0,vqc_1,0.06886910073072103,0.030157704563331222,0.27999999999999997,0.2076321533652992,0.08437166473726374,0.058166343908602904
27,label_noise,0.0,vqc_2,0.11147937061946762,0.045420832223546766,0.0,0.0,0.0,0.0
28,label_noise,0.0,vqc_3,0.5451202092870315,0.2540954373401823,0.3466666666666666,0.20763215336529914,0.4610602593440122,0.266000890702806
29,label_noise,0.0,vqc_4,0.08854442327282838,0.020178951024539735,0.1333333333333333,0.12472191289246472,0.06937343358395986,0.06590320757473331
30,label_noise,0.05,random_forest,0.5970022505594869,0.06980180461437917,0.48694581280788174,0.10631010960399623,0.6344025263866927,0.0929278953802219
31,label_noise,0.05,svm,0.5941484521394017,0.06523244275967166,0.4652709359605911,0.0863492842390271,0.6194685531270897,0.08324923590429187
32,label_noise,0.05,vqc_1,0.09791824263805042,0.010932528163178959,0.23965517241379306,0.09011884108338304,0.12394596348012091,0.04523483960344611
33,label_noise,0.05,vqc_2,0.12843145104015313,0.025760623255012445,0.0,0.0,0.0,0.0
34,label_noise,0.05,vqc_3,0.350096191886351,0.13207660351244438,0.21059113300492607,0.11802116798729992,0.3174864812495891,0.17185221339457307
35,label_noise,0.05,vqc_4,0.14764306681139447,0.023681348391199092,0.20344827586206896,0.08200250563032382,0.16414055080721743,0.06069652560853037
36,label_noise,0.1,random_forest,0.42973669200168957,0.08110424517383477,0.29287727776099864,0.05203158025242646,0.43020777750828676,0.06703676758703256
37,label_noise,0.1,svm,0.4597991275972402,0.06845098704345956,0.2788130474176985,0.049540598838566825,0.42252221462747774,0.06581958636557136
38,label_noise,0.1,vqc_1,0.14465740530236523,0.03602918578293663,0.2661481928923789,0.08875784232913224,0.1759739346069942,0.06284157125790962
39,label_noise,0.1,vqc_2,0.18264616609815199,0.03506811408607971,0.0,0.0,0.0,0.0
40,label_noise,0.1,vqc_3,0.3073898693134716,0.10374249666320963,0.08839726165307556,0.06244528888794142,0.15062315462315462,0.10635224218266211
41,label_noise,0.1,vqc_4,0.16307722086476362,0.0392217115794738,0.17233967582804788,0.06331846436878026,0.16017020042102917,0.04908106667909713
42,n_samples,300.0,random_forest,0.4703213223443088,0.18413862630823527,0.4138888888888889,0.1632756889965066,0.5137262737262737,0.192095129845941
43,n_samples,300.0,svm,0.4803000015440203,0.15155296632352888,0.3638888888888889,0.14346623898463032,0.4952447552447552,0.17217743237281358
44,n_samples,300.0,vqc_1,0.14034190562932328,0.05254005750949344,0.3638888888888889,0.19028284664781284,0.15442100407617645,0.08035652074589435
45,n_samples,300.0,vqc_2,0.20049541685129801,0.09304080336063106,0.0,0.0,0.0,0.0
46,n_samples,300.0,vqc_3,0.340248997411818,0.09985440852410979,0.175,0.14252192813739226,0.24584304584304584,0.20189883390311467
47,n_samples,300.0,vqc_4,0.1536331554256455,0.06765420121456958,0.19444444444444445,0.14061428285636518,0.13138457034109205,0.09200222156800898
48,n_samples,1000.0,random_forest,0.5970022505594869,0.06980180461437917,0.48694581280788174,0.10631010960399623,0.6344025263866927,0.0929278953802219
49,n_samples,1000.0,svm,0.5941484521394017,0.06523244275967166,0.4652709359605911,0.0863492842390271,0.6194685531270897,0.08324923590429187
50,n_samples,1000.0,vqc_1,0.0959779601317918,0.012107977187193518,0.2327586206896551,0.10946745004267434,0.1122767253058146,0.047535665223213196
51,n_samples,1000.0,vqc_2,0.12857222380123395,0.01689054230623892,0.0,0.0,0.0,0.0
52,n_samples,1000.0,vqc_3,0.3542349813903377,0.13181791259989856,0.21059113300492607,0.11802116798729992,0.3182945620576699,0.1710386167407298
53,n_samples,1000.0,vqc_4,0.14235372280857728,0.019267895239341006,0.18226600985221672,0.06946402343705606,0.1519749815401989,0.05512565244058274
54,n_samples,5000.0,random_forest,0.5757308070945264,0.04508215446101298,0.5027479562690831,0.03376450931977724,0.6551471666921287,0.029455196561154022
55,n_samples,5000.0,svm,0.5848741183723182,0.031600169202430785,0.4873238068660604,0.029228052651294877,0.6439982235214288,0.02700350795415156
56,n_samples,5000.0,vqc_1,0.11482961939086908,0.013856756570348882,0.2870247710036442,0.028183636943769005,0.14822695543829092,0.016736361120439
57,n_samples,5000.0,vqc_2,0.11920857628035283,0.019852755614468948,0.0,0.0,0.0,0.0
58,n_samples,5000.0,vqc_3,0.38492590688140077,0.03138367431264989,0.17507455377173683,0.03734347332521662,0.2943192741378552,0.05353271944520741
59,n_samples,5000.0,vqc_4,0.11645519073184787,0.020211638586188633,0.17790212526128016,0.039391845466514204,0.14607709012983983,0.0317293759469593
