run_id,sweep_key,sweep_value,model_name,seed,n_samples,anomaly_ratio,label_noise,pr_auc,recall_anomaly,precision_anomaly,f1_anomaly,accuracy,tn,fp,fn,tp
anomaly_ratio_0.02_seed_2_vqc_3,anomaly_ratio,0.02,vqc_3,2,1000,0.02,0.05,0.11355663521837585,0.05,1.0,0.09523809523809523,0.9366666666666666,280,0,19,1
anomaly_ratio_0.02_seed_2_vqc_2,anomaly_ratio,0.02,vqc_2,2,1000,0.02,0.05,0.07576220375977873,0.0,0.0,0.0,0.9333333333333333,280,0,20,0
anomaly_ratio_0.02_seed_2_random_forest,anomaly_ratio,0.02,random_forest,2,1000,0.02,0.05,0.24337022866720187,0.1,1.0,0.18181818181818182,0.94,280,0,18,2
anomaly_ratio_0.02_seed_2_svm,anomaly_ratio,0.02,svm,2,1000,0.02,0.05,0.20341396256317967,0.05,1.0,0.09523809523809523,0.9366666666666666,280,0,19,1
anomaly_ratio_0.02_seed_2_vqc_1,anomaly_ratio,0.02,vqc_1,2,1000,0.02,0.05,0.05547117565309881,0.2,0.04040404040404041,0.06722689075630252,0.63,185,95,16,4
anomaly_ratio_0.02_seed_4_vqc_4,anomaly_ratio,0.02,vqc_4,4,1000,0.02,0.05,0.12798872747544082,0.15,0.057692307692307696,0.08333333333333333,0.78,231,49,17,3
anomaly_ratio_0.02_seed_4_vqc_3,anomaly_ratio,0.02,vqc_3,4,1000,0.02,0.05,0.1194219150586044,0.1,0.18181818181818182,0.12903225806451613,0.91,271,9,18,2
anomaly_ratio_0.02_seed_4_vqc_2,anomaly_ratio,0.02,vqc_2,4,1000,0.02,0.05,0.07301636608853732,0.0,0.0,0.0,0.9333333333333333,280,0,20,0
anomaly_ratio_0.02_seed_4_random_forest,anomaly_ratio,0.02,random_forest,4,1000,0.02,0.05,0.35180553951474053,0.35,0.875,0.5,0.9533333333333334,279,1,13,7
anomaly_ratio_0.02_seed_4_svm,anomaly_ratio,0.02,svm,4,1000,0.02,0.05,0.42663980021522707,0.15,1.0,0.2608695652173913,0.9433333333333334,280,0,17,3
anomaly_ratio_0.02_seed_4_vqc_1,anomaly_ratio,0.02,vqc_1,4,1000,0.02,0.05,0.056941884734979326,0.25,0.05434782608695652,0.08928571428571429,0.66,193,87,15,5
anomaly_ratio_0.02_seed_3_vqc_4,anomaly_ratio,0.02,vqc_4,3,1000,0.02,0.05,0.07295440472309489,0.15,0.04838709677419355,0.07317073170731707,0.7466666666666667,221,59,17,3
anomaly_ratio_0.02_seed_3_vqc_3,anomaly_ratio,0.02,vqc_3,3,1000,0.02,0.05,0.18309781703496875,0.05,0.5,0.09090909090909091,0.9333333333333333,279,1,19,1
anomaly_ratio_0.02_seed_3_vqc_2,anomaly_ratio,0.02,vqc_2,3,1000,0.02,0.05,0.06329448154416904,0.0,0.0,0.0,0.9333333333333333,280,0,20,0
anomaly_ratio_0.02_seed_3_random_forest,anomaly_ratio,0.02,random_forest,3,1000,0.02,0.05,0.4159329229556744,0.35,0.7777777777777778,0.4827586206896552,0.95,278,2,13,7
anomaly_ratio_0.02_seed_3_svm,anomaly_ratio,0.02,svm,3,1000,0.02,0.05,0.40177193159931157,0.3,0.8571428571428571,0.4444444444444444,0.95,279,1,14,6
anomaly_ratio_0.02_seed_3_vqc_1,anomaly_ratio,0.02,vqc_1,3,1000,0.02,0.05,0.07630276978165301,0.3,0.0625,0.10344827586206896,0.6533333333333333,190,90,14,6
anomaly_ratio_0.02_seed_1_vqc_4,anomaly_ratio,0.02,vqc_4,1,1000,0.02,0.05,0.05690444289817698,0.1,0.04081632653061224,0.057971014492753624,0.7833333333333333,233,47,18,2
anomaly_ratio_0.02_seed_1_vqc_3,anomaly_ratio,0.02,vqc_3,1,1000,0.02,0.05,0.10190076899235068,0.05,0.07142857142857142,0.058823529411764705,0.8933333333333333,267,13,19,1
anomaly_ratio_0.02_seed_1_vqc_2,anomaly_ratio,0.02,vqc_2,1,1000,0.02,0.05,0.05009879363096968,0.0,0.0,0.0,0.9333333333333333,280,0,20,0
anomaly_ratio_0.02_seed_1_random_forest,anomaly_ratio,0.02,random_forest,1,1000,0.02,0.05,0.42464917027417026,0.35,1.0,0.5185185185185185,0.9566666666666667,280,0,13,7
anomaly_ratio_0.02_seed_1_svm,anomaly_ratio,0.02,svm,1,1000,0.02,0.05,0.4385758895912655,0.3,1.0,0.46153846153846156,0.9533333333333334,280,0,14,6
anomaly_ratio_0.02_seed_1_vqc_1,anomaly_ratio,0.02,vqc_1,1,1000,0.02,0.05,0.07984988303686771,0.2,0.056338028169014086,0.08791208791208792,0.7233333333333334,213,67,16,4
anomaly_ratio_0.02_seed_0_vqc_4,anomaly_ratio,0.02,vqc_4,0,1000,0.02,0.05,0.07943458191297903,0.25,0.1,0.14285714285714285,0.8,235,45,15,5
anomaly_ratio_0.02_seed_0_vqc_3,anomaly_ratio,0.02,vqc_3,0,1000,0.02,0.05,0.1474951077942772,0.05,0.5,0.09090909090909091,0.9333333333333333,279,1,19,1
anomaly_ratio_0.02_seed_0_vqc_2,anomaly_ratio,0.02,vqc_2,0,1000,0.02,0.05,0.09776844534550809,0.0,0.0,0.0,0.9333333333333333,280,0,20,0
anomaly_ratio_0.02_seed_0_random_forest,anomaly_ratio,0.02,random_forest,0,1000,0.02,0.05,0.20403403281556737,0.1,1.0,0.18181818181818182,0.94,280,0,18,2
anomaly_ratio_0.02_seed_0_svm,anomaly_ratio,0.02,svm,0,1000,0.02,0.05,0.2326389771426354,0.1,1.0,0.18181818181818182,0.94,280,0,18,2
anomaly_ratio_0.02_seed_0_vqc_1,anomaly_ratio,0.02,vqc_1,0,1000,0.02,0.05,0.0754823913970751,0.4,0.07142857142857142,0.12121212121212122,0.6133333333333333,176,104,12,8
anomaly_ratio_0.05_seed_2_vqc_4,anomaly_ratio,0.05,vqc_4,2,1000,0.05,0.05,0.14296784003396565,0.17857142857142858,0.14705882352941177,0.16129032258064516,0.8266666666666667,243,29,23,5
anomaly_ratio_0.05_seed_2_vqc_3,anomaly_ratio,0.05,vqc_3,2,1000,0.05,0.05,0.5090683348495262,0.32142857142857145,0.9,0.47368421052631576,0.9333333333333333,271,1,19,9
anomaly_ratio_0.05_seed_2_vqc_2,anomaly_ratio,0.05,vqc_2,2,1000,0.05,0.05,0.1392998885365438,0.0,0.0,0.0,0.9066666666666666,272,0,28,0
anomaly_ratio_0.05_seed_2_random_forest,anomaly_ratio,0.05,random_forest,2,1000,0.05,0.05,0.7028405732579939,0.6428571428571429,0.9473684210526315,0.7659574468085106,0.9633333333333334,271,1,10,18
anomaly_ratio_0.05_seed_2_svm,anomaly_ratio,0.05,svm,2,1000,0.05,0.05,0.6706086932759994,0.5714285714285714,0.9411764705882353,0.7111111111111111,0.9566666666666667,271,1,12,16
anomaly_ratio_0.05_seed_2_vqc_1,anomaly_ratio,0.05,vqc_1,2,1000,0.05,0.05,0.10352199315975627,0.25,0.09090909090909091,0.13333333333333333,0.6966666666666667,202,70,21,7
anomaly_ratio_0.05_seed_4_vqc_4,anomaly_ratio,0.05,vqc_4,4,1000,0.05,0.05,0.13542995619725756,0.17857142857142858,0.13157894736842105,0.15151515151515152,0.8133333333333334,239,33,23,5
anomaly_ratio_0.05_seed_4_vqc_3,anomaly_ratio,0.05,vqc_3,4,1000,0.05,0.05,0.3061626694445276,0.07142857142857142,0.6666666666666666,0.12903225806451613,0.91,271,1,26,2
anomaly_ratio_0.05_seed_4_vqc_2,anomaly_ratio,0.05,vqc_2,4,1000,0.05,0.05,0.09782315644834283,0.0,0.0,0.0,0.9066666666666666,272,0,28,0
anomaly_ratio_0.05_seed_4_random_forest,anomaly_ratio,0.05,random_forest,4,1000,0.05,0.05,0.6095005840399277,0.4642857142857143,0.8125,0.5909090909090909,0.94,269,3,15,13
