run_id,sweep_key,sweep_value,model_name,seed,n_samples,anomaly_ratio,label_noise,pr_auc,recall_anomaly,precision_anomaly,f1_anomaly,accuracy,tn,fp,fn,tp
anomaly_ratio_0.01_seed_2_vqc_4,anomaly_ratio,0.01,vqc_4,2,1000,0.01,0.05,0.014078282828282827,0.0,0.0,0.0,0.8533333333333334,256,41,3,0
anomaly_ratio_0.01_seed_2_vqc_3,anomaly_ratio,0.01,vqc_3,2,1000,0.01,0.05,0.13773681515616998,0.3333333333333333,0.2,0.25,0.98,293,4,2,1
anomaly_ratio_0.01_seed_2_vqc_2,anomaly_ratio,0.01,vqc_2,2,1000,0.01,0.05,0.007053817467093939,0.0,0.0,0.0,0.99,297,0,3,0
anomaly_ratio_0.01_seed_2_random_forest,anomaly_ratio,0.01,random_forest,2,1000,0.01,0.05,1.0,1.0,1.0,1.0,1.0,297,0,0,3
anomaly_ratio_0.01_seed_2_svm,anomaly_ratio,0.01,svm,2,1000,0.01,0.05,1.0,1.0,1.0,1.0,1.0,297,0,0,3
anomaly_ratio_0.01_seed_2_vqc_1,anomaly_ratio,0.01,vqc_1,2,1000,0.01,0.05,0.043730163603558005,0.3333333333333333,0.015625,0.029850746268656716,0.7833333333333333,234,63,2,1
anomaly_ratio_0.01_seed_4_vqc_4,anomaly_ratio,0.01,vqc_4,4,1000,0.01,0.05,0.042337164750957855,0.6666666666666666,0.029850746268656716,0.05714285714285714,0.78,232,65,1,2
anomaly_ratio_0.01_seed_4_vqc_3,anomaly_ratio,0.01,vqc_3,4,1000,0.01,0.05,0.014016332721368692,0.0,0.0,0.0,0.97,291,6,3,0
anomaly_ratio_0.01_seed_4_vqc_2,anomaly_ratio,0.01,vqc_2,4,1000,0.01,0.05,0.038572944052396106,0.0,0.0,0.0,0.99,297,0,3,0
anomaly_ratio_0.01_seed_4_random_forest,anomaly_ratio,0.01,random_forest,4,1000,0.01,0.05,1.0,1.0,1.0,1.0,1.0,297,0,0,3
anomaly_ratio_0.01_seed_4_svm,anomaly_ratio,0.01,svm,4,1000,0.01,0.05,1.0,1.0,1.0,1.0,1.0,297,0,0,3
anomaly_ratio_0.01_seed_4_vqc_1,anomaly_ratio,0.01,vqc_1,4,1000,0.01,0.05,0.01520854654816411,0.0,0.0,0.0,0.7666666666666667,230,67,3,0
anomaly_ratio_0.01_seed_3_vqc_4,anomaly_ratio,0.01,vqc_4,3,1000,0.01,0.05,0.013097395444693174,0.0,0.0,0.0,0.8233333333333334,247,50,3,0
anomaly_ratio_0.01_seed_3_vqc_3,anomaly_ratio,0.01,vqc_3,3,1000,0.01,0.05,0.3833333333333333,0.6666666666666666,0.4,0.5,0.9866666666666667,294,3,1,2
anomaly_ratio_0.01_seed_3_vqc_2,anomaly_ratio,0.01,vqc_2,3,1000,0.01,0.05,0.016638407326666438,0.0,0.0,0.0,0.99,297,0,3,0
anomaly_ratio_0.01_seed_3_random_forest,anomaly_ratio,0.01,random_forest,3,1000,0.01,0.05,1.0,0.6666666666666666,1.0,0.8,0.9966666666666667,297,0,1,2
anomaly_ratio_0.01_seed_3_svm,anomaly_ratio,0.01,svm,3,1000,0.01,0.05,1.0,1.0,1.0,1.0,1.0,297,0,0,3
anomaly_ratio_0.01_seed_3_vqc_1,anomaly_ratio,0.01,vqc_1,3,1000,0.01,0.05,0.045958177278402,0.6666666666666666,0.041666666666666664,0.0784313725490196,0.8433333333333334,251,46,1,2
anomaly_ratio_0.01_seed_1_vqc_4,anomaly_ratio,0.01,vqc_4,1,1000,0.01,0.05,0.017953216374269006,0.0,0.0,0.0,0.8433333333333334,253,44,3,0
anomaly_ratio_0.01_seed_1_vqc_3,anomaly_ratio,0.01,vqc_3,1,1000,0.01,0.05,0.7777777777777777,1.0,0.3333333333333333,0.5,0.98,291,6,0,3
